DATE,TIME,OPEN,HIGH,LOW,CLOSE
2024.09.05,06:45:00,2495.95,2496.32,2494.53,2494.76
2024.09.05,07:00:00,2494.72,2494.85,2493.96,2494.33
2024.09.05,07:15:00,2494.3,2494.72,2493.95,2494.4
2024.09.05,07:30:00,2494.43,2494.97,2494.24,2494.77
2024.09.05,07:45:00,2494.75,2494.85,2493.72,2494.18
2024.09.05,08:00:00,2494.15,2495.15,2493.86,2495.06
2024.09.05,08:15:00,2495.06,2495.56,2494.6,2495.36
2024.09.05,08:30:00,2495.37,2498.16,2494.41,2497.89
2024.09.05,08:45:00,2497.89,2502.21,2497.74,2501.88
2024.09.05,09:00:00,2501.87,2505.15,2500.71,2503.64
2024.09.05,09:15:00,2503.64,2506.76,2502.46,2506.25
2024.09.05,09:30:00,2506.3,2506.84,2502.24,2502.99
2024.09.05,09:45:00,2503.0,2504.94,2502.65,2504.27
2024.09.05,10:00:00,2504.27,2504.66,2502.87,2504.55
2024.09.05,10:15:00,2504.58,2506.33,2504.58,2506.12
2024.09.05,10:30:00,2506.15,2506.53,2505.13,2505.93
2024.09.05,10:45:00,2505.92,2507.41,2503.9,2506.33
2024.09.05,11:00:00,2506.34,2509.35,2505.91,2508.0
2024.09.05,11:15:00,2508.0,2515.72,2508.0,2513.88
2024.09.05,11:30:00,2513.9,2516.56,2512.94,2515.03
2024.09.05,11:45:00,2515.03,2516.5,2513.68,2514.59
2024.09.05,12:00:00,2514.6,2516.8,2514.6,2516.51
2024.09.05,12:15:00,2516.51,2516.99,2515.07,2515.73
2024.09.05,12:30:00,2515.74,2517.16,2514.98,2516.66
2024.09.05,12:45:00,2516.65,2516.87,2515.32,2515.4
2024.09.05,13:00:00,2515.4,2516.22,2514.08,2516.13
2024.09.05,13:15:00,2516.14,2516.87,2515.33,2516.56
2024.09.05,13:30:00,2516.58,2516.69,2513.23,2514.34
2024.09.05,13:45:00,2514.32,2516.23,2513.89,2516.23
2024.09.05,14:00:00,2516.21,2518.24,2515.01,2516.04
2024.09.05,14:15:00,2515.97,2516.4,2514.52,2515.53
2024.09.05,14:30:00,2515.54,2516.64,2513.82,2514.63
2024.09.05,14:45:00,2514.63,2516.19,2513.56,2515.13
2024.09.05,15:00:00,2515.13,2516.12,2513.47,2513.47
2024.09.05,15:15:00,2513.55,2520.75,2513.55,2518.76
2024.09.05,15:30:00,2518.19,2523.31,2516.59,2521.85
2024.09.05,15:45:00,2521.85,2521.85,2516.27,2517.63
2024.09.05,16:00:00,2517.63,2518.52,2512.34,2514.75
2024.09.05,16:15:00,2514.74,2518.98,2514.22,2518.47
2024.09.05,16:30:00,2518.48,2519.27,2515.57,2516.52
2024.09.05,16:45:00,2516.56,2516.56,2513.18,2514.65
2024.09.05,17:00:00,2514.63,2515.09,2507.57,2513.65
2024.09.05,17:15:00,2513.62,2520.46,2513.42,2517.08
2024.09.05,17:30:00,2517.06,2518.52,2511.66,2512.68
2024.09.05,17:45:00,2512.66,2512.81,2508.44,2508.64
2024.09.05,18:00:00,2508.62,2509.29,2503.84,2507.68
2024.09.05,18:15:00,2507.75,2508.5,2504.62,2505.98
2024.09.05,18:30:00,2505.97,2510.84,2505.97,2508.93
2024.09.05,18:45:00,2508.93,2509.86,2506.24,2507.03
2024.09.05,19:00:00,2507.03,2508.96,2505.99,2507.18
2024.09.05,19:15:00,2507.15,2510.4,2506.5,2510.15
2024.09.05,19:30:00,2510.2,2510.61,2508.92,2508.92
2024.09.05,19:45:00,2508.83,2511.42,2508.31,2510.29
2024.09.05,20:00:00,2510.29,2510.98,2509.16,2510.53
2024.09.05,20:15:00,2510.49,2513.64,2510.0,2512.71
2024.09.05,20:30:00,2512.68,2513.71,2511.62,2513.0
2024.09.05,20:45:00,2512.99,2515.31,2512.39,2515.01
2024.09.05,21:00:00,2515.02,2516.26,2514.87,2516.05
2024.09.05,21:15:00,2516.09,2516.29,2514.73,2515.62
2024.09.05,21:30:00,2515.58,2516.76,2515.35,2515.35
2024.09.05,21:45:00,2515.35,2516.2,2515.16,2515.48
2024.09.05,22:00:00,2515.47,2515.9,2514.97,2515.0
2024.09.05,22:15:00,2515.02,2515.5,2514.68,2514.98
2024.09.05,22:30:00,2514.98,2515.97,2514.31,2514.31
2024.09.05,22:45:00,2514.32,2514.87,2513.54,2514.78
2024.09.05,23:00:00,2514.76,2515.73,2514.74,2514.88
