datetime,type,price,size
2024-01-04 13:00:00,sell,2047.8499999999997,-3
2024-01-04 13:00:00,sell,2047.8499999999997,-3
2024-01-04 13:00:00,sell,2047.8499999999997,-3
2024-01-04 14:45:00,buy,2045.99,6
2024-01-04 15:00:00,buy,2045.97,1
2024-01-04 15:00:00,buy,2045.97,1
2024-01-04 15:00:00,buy,2045.97,1
2024-01-04 15:15:00,sell,2046.38,-3
2024-01-04 15:30:00,buy,2044.48,1
2024-01-04 15:30:00,buy,2044.48,1
2024-01-04 15:30:00,buy,2044.48,1
2024-01-04 15:45:00,sell,2039.33,-3
2024-01-04 15:45:00,sell,2039.33,-3
2024-01-04 15:45:00,sell,2039.33,-3
2024-01-04 16:30:00,buy,2040.36,6
2024-01-04 16:45:00,buy,2039.87,1
2024-01-04 16:45:00,buy,2039.87,1
2024-01-04 16:45:00,buy,2039.87,1
2024-01-04 17:00:00,sell,2039.22,-3
2024-01-04 17:00:00,sell,2039.22,-3
2024-01-04 17:00:00,sell,2039.22,-3
2024-01-04 17:15:00,buy,2045.04,6
2024-01-04 17:30:00,buy,2046.77,1
2024-01-04 17:30:00,buy,2046.77,1
2024-01-04 17:30:00,buy,2046.77,1
2024-01-04 19:15:00,sell,2043.45,-3
2024-01-04 19:15:00,sell,2043.45,-3
2024-01-04 19:45:00,buy,2043.46,3
2024-01-04 20:00:00,buy,2043.24,1
2024-01-04 20:00:00,buy,2043.24,1
2024-01-04 20:00:00,buy,2043.24,1
2024-01-04 20:15:00,sell,2042.39,-3
2024-01-04 20:15:00,sell,2042.39,-3
2024-01-04 21:15:00,buy,2042.88,3
2024-01-04 21:30:00,buy,2042.8,1
2024-01-04 21:30:00,buy,2042.8,1
2024-01-04 21:30:00,buy,2042.8,1
2024-01-04 21:45:00,sell,2043.04,-3
2024-01-04 21:45:00,sell,2043.04,-3
2024-01-04 21:45:00,sell,2043.04,-3
2024-01-04 22:00:00,buy,2044.29,6
2024-01-04 22:15:00,buy,2044.7,1
2024-01-04 22:15:00,buy,2044.7,1
2024-01-04 22:15:00,buy,2044.7,1
2024-01-04 22:30:00,sell,2044.4399999999998,-3
2024-01-04 22:30:00,sell,2044.4399999999998,-3
2024-01-04 22:30:00,sell,2044.4399999999998,-3
2024-01-04 23:15:00,buy,2043.2,6
2024-01-04 23:30:00,buy,2043.3,1
2024-01-04 23:30:00,buy,2043.3,1
2024-01-04 23:30:00,buy,2043.3,1
2024-01-04 23:45:00,sell,2043.2300000000002,-3
2024-01-04 23:45:00,sell,2043.2300000000002,-3
2024-01-04 23:45:00,sell,2043.2300000000002,-3
2024-01-05 01:00:00,buy,2043.8100000000002,6
2024-01-05 01:15:00,buy,2044.49,1
2024-01-05 01:15:00,sell,2044.49,-1
2024-01-05 01:15:00,buy,2044.49,1
2024-01-05 01:30:00,sell,2042.96,-1
2024-01-05 01:30:00,sell,2042.96,-1
2024-01-05 01:45:00,buy,2043.73,1
2024-01-05 02:00:00,buy,2044.2,1
2024-01-05 02:00:00,buy,2044.2,1
2024-01-05 02:00:00,buy,2044.2,1
2024-01-05 02:15:00,sell,2043.79,-3
2024-01-05 02:30:00,buy,2043.94,1
2024-01-05 02:30:00,buy,2043.94,1
2024-01-05 02:30:00,buy,2043.94,1
2024-01-05 03:30:00,sell,2046.25,-3
2024-01-05 03:30:00,sell,2046.25,-3
2024-01-05 03:45:00,buy,2047.1500000000003,3
2024-01-05 03:45:00,buy,2047.1500000000003,3
2024-01-05 04:00:00,sell,2046.0999999999997,-3
2024-01-05 04:00:00,sell,2046.0999999999997,-3
2024-01-05 04:15:00,buy,2046.5999999999997,3
2024-01-05 04:15:00,buy,2046.5999999999997,3
2024-01-05 04:45:00,sell,2046.37,-3
2024-01-05 04:45:00,sell,2046.37,-3
2024-01-05 04:45:00,sell,2046.37,-3
2024-01-05 05:00:00,buy,2045.9800000000002,6
2024-01-05 05:15:00,buy,2045.13,1
2024-01-05 05:15:00,buy,2045.13,1
2024-01-05 05:15:00,buy,2045.13,1
2024-01-05 05:30:00,sell,2045.43,-3
2024-01-05 05:30:00,sell,2045.43,-3
2024-01-05 05:30:00,sell,2045.43,-3
2024-01-05 06:30:00,buy,2046.03,6
2024-01-05 06:45:00,buy,2045.31,1
2024-01-05 06:45:00,buy,2045.31,1
2024-01-05 06:45:00,buy,2045.31,1
2024-01-05 07:00:00,sell,2044.58,-3
2024-01-05 07:00:00,sell,2044.58,-3
2024-01-05 07:00:00,sell,2044.58,-3
2024-01-05 07:45:00,buy,2044.8100000000002,6
2024-01-05 08:00:00,buy,2044.44,1
2024-01-05 08:00:00,buy,2044.44,1
2024-01-05 08:00:00,buy,2044.44,1
2024-01-05 08:15:00,sell,2044.43,-3
2024-01-05 08:15:00,sell,2044.43,-3
2024-01-05 08:15:00,sell,2044.43,-3
2024-01-05 09:00:00,buy,2042.5,6
2024-01-05 09:15:00,buy,2045.03,1
2024-01-05 09:15:00,buy,2045.03,1
2024-01-05 09:15:00,buy,2045.03,1
2024-01-05 09:45:00,sell,2043.64,-3
2024-01-05 09:45:00,sell,2043.64,-3
2024-01-05 13:00:00,buy,2039.89,3
2024-01-05 13:00:00,buy,2039.89,3
2024-01-05 13:15:00,sell,2038.51,-3
2024-01-05 13:30:00,sell,2037.52,-1
2024-01-05 13:30:00,sell,2037.52,-1
2024-01-05 13:30:00,sell,2037.52,-1
2024-01-05 14:15:00,buy,2039.8100000000002,3
